station_id,name,alternative-fr,alternative-nl,alternative-de,alternative-en,country-code,longitude,latitude,avg_stop_times,official_transfer_time
8861333,Mazy,,,,,be,4.675829,50.513497,5.61194,300
8822004,Mechelen,Malines,,,,be,4.482785,51.017648,472.089552,300
8822343,Mechelen-Nekkerspoel,Malines-Nekkerspoel,,,,be,4.489914,51.029883,283.701493,300
8811171,Meiser,,,,,be,4.394421,50.854072,166.641791,300
8821824,Melkouwen,,,,,be,4.671532,51.094938,76.686567,300
8893039,Melle,,,,,be,3.797088,51.002807,183,300
8890142,Melle PW,,,,,be,3.77939,51.01394,0,
8864436,Melreux-Hotton,,,,,be,5.440136,50.28367,30.738806,300
8894755,Melsele,,,,,be,4.286766,51.21071,159.835821,300
8896305,Menen,Menin,,,,be,3.113791,50.799489,41.544776,300
8812120,Merchtem,,,,,be,4.222718,50.954958,90.977612,300
8893013,Merelbeke,,,,,be,3.768889,51.017531,183,300
8811197,Merode,,,,,be,4.398934,50.839284,36.477612,300
8200110,Mersch,,,,,lu,6.106111,49.748893,15.723881,300
8866662,Messancy,,,,,be,5.818915,49.592777,24.552239,300
8719203,Metz,,,,,fr,6.166663,49.13333,0,
8886058,Mevergnies-Attre,,,,,be,3.833917,50.600108,35.447761,300
8200128,Michelau,,,,,lu,6.09149,49.89729,15.059701,300
8841665,Milmort,,,,,be,5.60009,50.692455,98.910448,300
8814431,Moensberg,,,,,be,4.330733,50.77832,70.208955,300
8832409,Mol,,,,,be,5.116336,51.19105,109.537313,240
8812112,Mollem,,,,,be,4.216965,50.933473,90.977612,300
8841459,Momalle,,,,,be,5.367602,50.66991,63.216418,300
8881000,Mons,,Bergen,,,be,3.942542,50.453854,244.761194,300
8861549,Mont-Saint-Guibert,,,,,be,4.613884,50.637611,130.813433,300
8777300,Montpellier,,,,,fr,3.880534,43.604947,0.037313,300
8893062,Moortsele,,,,,be,3.781339,50.953519,42.328358,300
8882230,Morlanwelz,,,,,be,4.247367,50.457998,82.671642,300
8821147,Mortsel,,,,,be,4.448437,51.18296,238.029851,300
