Stopping place,total_trains,total_delay_minutes,avg_delay_minutes,unique_trains,delays_above_5min,delays_above_15min,pct_delays_above_5min,pct_delays_above_15min,Unnamed: 0,Station,Avg number of travelers in the week,Avg number of travelers on Saturday,Avg number of travelers on Sunday,avg_weekday_travelers,delay_times_1000_travelers,betweenness_centrality
RHISNES,287,835.85,2.91,59,53.0,11.0,18.47,3.83,430.0,RHISNES,234.0,40.0,34.0,234.0,195.59,0.13119533527696792
RHISNES-SAS,287,853.97,2.98,59,54.0,11.0,18.82,3.83,0.0,0,0.0,0.0,0.0,0.0,0.0,0.13508260447035958
RIVAGE,139,303.23,2.18,28,14.0,2.0,10.07,1.44,431.0,RIVAGE,164.0,53.0,63.0,164.0,49.73,0.047619047619047616
RIVAGE-MARCHANDISES,139,274.17,1.97,28,13.0,2.0,9.35,1.44,0.0,0,0.0,0.0,0.0,0.0,0.0,0.07774538386783285
RIXENSART,379,1237.85,3.27,79,72.0,10.0,19.0,2.64,432.0,RIXENSART,1438.0,366.0,365.0,1438.0,1780.03,0.1827016520894072
ROCHEFORT-JEMELLE,116,302.38,2.61,25,20.0,5.0,17.24,4.31,433.0,ROCHEFORT-JEMELLE,647.0,277.0,402.0,647.0,195.64,0.07482993197278912
ROESELARE,147,588.6,4.0,31,19.0,6.0,12.93,4.08,434.0,ROESELARE,2787.0,882.0,1120.0,2787.0,1640.43,0.05928085519922255
RONET,215,509.55,2.37,48,35.0,4.0,16.28,1.86,435.0,RONET,47.0,8.0,8.0,47.0,23.95,0.0913508260447036
RONSE,44,37.15,0.84,9,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.01652089407191448
ROUX,197,341.95,1.74,40,16.0,2.0,8.12,1.02,437.0,ROUX,134.0,32.0,16.0,134.0,45.82,0.07968901846452867
RUISBROEK,430,1349.4,3.14,96,89.0,13.0,20.7,3.02,439.0,RUISBROEK,729.0,247.0,200.0,729.0,983.71,0.18075801749271136
RUISBROEK-SAUVEGARDE,107,260.83,2.44,24,13.0,1.0,12.15,0.93,0.0,0,0.0,0.0,0.0,0.0,0.0,0.03304178814382896
SAINT-DENIS-BOVESSE,287,911.12,3.17,59,53.0,11.0,18.47,3.83,0.0,0,0.0,0.0,0.0,0.0,0.0,0.18075801749271136
SAINT-GHISLAIN,232,584.32,2.52,47,35.0,9.0,15.09,3.88,0.0,0,0.0,0.0,0.0,0.0,0.0,0.10301263362487852
SART-BERNARD,177,325.27,1.84,37,17.0,5.0,9.6,2.82,440.0,SART-BERNARD,122.0,44.0,27.0,122.0,39.68,0.05928085519922255
SCHAARBEEK,1471,4507.4,3.06,310,307.0,42.0,20.87,2.86,0.0,0,0.0,0.0,0.0,0.0,0.0,0.7541302235179786
SCHAARBEEK-JOSAPHAT,405,799.48,1.97,84,46.0,3.0,11.36,0.74,0.0,0,0.0,0.0,0.0,0.0,0.0,0.17589893100097181
SCHAARBEEK-PERRON P.C.I.,6,33.6,5.6,5,3.0,0.0,50.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.025267249757045675
SCHELDEWINDEKE,106,183.72,1.73,22,8.0,3.0,7.55,2.83,442.0,SCHELDEWINDEKE,366.0,70.0,74.0,366.0,67.24,0.019436345966958212
SCHELLE,115,258.52,2.25,24,12.0,3.0,10.43,2.61,443.0,SCHELLE,262.0,51.0,33.0,262.0,67.73,0.05442176870748299
SCHELLEBELLE,266,360.25,1.35,54,19.0,2.0,7.14,0.75,444.0,SCHELLEBELLE,560.0,102.0,84.0,560.0,201.74,0.1477162293488824
SCHENDELBEKE,144,406.57,2.82,29,22.0,4.0,15.28,2.78,445.0,SCHENDELBEKE,238.0,58.0,46.0,238.0,96.76,0.042759961127308066
