Stopping place,total_trains,total_delay_minutes,avg_delay_minutes,unique_trains,delays_above_5min,delays_above_15min,pct_delays_above_5min,pct_delays_above_15min,Unnamed: 0,Station,Avg number of travelers in the week,Avg number of travelers on Saturday,Avg number of travelers on Sunday,avg_weekday_travelers,delay_times_1000_travelers,degree_centrality,bottleneck_score,bottleneck_rank
QUAREGNON,206,254.575,2.47,42,15.0,2.0,7.28,2.43,425.0,QUAREGNON,533,211,144,533,271.38,0.09622886866059818,0.8167027503714895,110.0
QUEVY,41,15.95,0.78,9,0.0,0.0,0.0,0.0,0.0,QUEVY,148,44,37,148,4.72,0.027308192457737322,-2.6363156059995045,542.0
QUIEVRAIN,44,20.425,0.93,9,0.0,0.0,0.0,0.0,427.0,QUIEVRAIN,403,165,183,403,16.46,0.025357607282184655,-2.631001610454149,541.0
REBAIX,93,136.76,2.94,19,8.0,1.0,8.6,2.15,428.0,REBAIX,106,19,12,106,28.99,0.03706111833550065,-0.4554668147073664,252.0
REMICOURT,91,32.35,0.71,19,0.0,0.0,0.0,0.0,429.0,REMICOURT,149,39,28,149,9.64,0.029258777633289986,-2.3211735391680604,515.0
RHISNES,100,73.86,1.48,20,6.0,0.0,6.0,0.0,430.0,RHISNES,234,40,34,234,34.57,0.03315994798439532,-1.0723905991613514,329.0
RIVAGE,164,173.51,2.12,33,8.0,1.0,4.88,1.22,431.0,RIVAGE,164,53,63,164,56.91,0.06501950585175553,-0.36010030583265334,237.0
RIXENSART,134,278.71,4.16,27,17.0,3.0,12.69,4.48,432.0,RIXENSART,1438,366,365,1438,801.57,0.06436931079323797,1.1368172590820065,90.0
ROCHEFORT-JEMELLE,146,184.34,2.53,31,10.0,2.0,6.85,3.42,433.0,ROCHEFORT-JEMELLE,647,277,402,647,238.54,0.05981794538361508,-0.1279950765952692,202.0
ROESELARE,171,357.19,4.18,36,12.0,4.0,7.02,4.68,434.0,ROESELARE,2787,882,1120,2787,1990.98,0.07217165149544863,0.6340129484211038,122.0
RONET,115,118.94,2.07,26,7.0,1.0,6.09,1.74,435.0,RONET,47,8,8,47,11.18,0.0494148244473342,-0.6969011167682954,281.0
