Stopping place,total_trains,total_delay_minutes,avg_delay_minutes,unique_trains,delays_above_5min,delays_above_15min,pct_delays_above_5min,pct_delays_above_15min,Unnamed: 0,Station,Avg number of travelers in the week,Avg number of travelers on Saturday,Avg number of travelers on Sunday,avg_weekday_travelers,delay_times_1000_travelers,degree_centrality,bottleneck_score,bottleneck_rank
NESSONVAUX,241,274.275,2.28,51,20.0,4.0,8.3,3.32,385.0,NESSONVAUX,267,112,81,267,146.46,0.0913508260447036,0.43603047755017044,177.0
NEUFCHATEAU,126,88.375,1.4,26,4.0,0.0,3.17,0.79,386.0,NEUFCHATEAU,95,47,29,95,16.79,0.042759961127308066,-2.081074982350821,467.0
NEUFVILLES,211,317.035,3.01,45,17.0,1.0,8.06,0.95,0.0,NEUFVILLES,1000,300,250,1000,634.07,0.0923226433430515,0.3365841877077507,190.0
NEUFVILLES-GARAGE,211,305.525,2.9,45,16.0,1.0,7.58,0.95,0.0,NEUFVILLES-GARAGE,1000,300,250,1000,611.05,0.1010689990281827,0.26963894092672935,199.0
NIEL,115,129.0,2.24,24,6.0,2.0,5.22,2.61,388.0,NIEL,285,51,50,285,73.53,0.06705539358600583,-1.3365362840079194,407.0
NIEUWKERKEN-WAAS,300,190.975,1.27,60,10.0,0.0,3.33,0.33,389.0,NIEUWKERKEN-WAAS,312,19,18,312,119.17,0.1282798833819242,-0.39083658721698994,276.0
NIJLEN,290,312.3,2.15,59,16.0,4.0,5.52,2.41,390.0,NIJLEN,623,249,234,623,389.13,0.10689990281827016,0.14722164786599318,206.0
NIMY,186,185.81,2.0,38,12.0,4.0,6.45,3.76,391.0,NIMY,88,11,14,88,32.7,0.07677356656948493,-0.5427031331009817,292.0
NINOVE,144,187.25,2.6,29,10.0,2.0,6.94,2.78,392.0,NINOVE,1352,336,240,1352,506.32,0.04178814382896016,-0.8836560512118269,344.0
NINOVE-WIJKSPOOR,144,171.14,2.38,29,7.0,2.0,4.86,2.78,0.0,NINOVE-WIJKSPOOR,1000,300,250,1000,342.28,0.042759961127308066,-1.430814572732338,423.0
NIVELLES,281,321.25,2.29,57,16.0,1.0,5.69,0.71,393.0,NIVELLES,4866,1444,902,4866,3126.4,0.14382896015549076,0.5389498120235745,171.0
